曲线名:电压1

统计数据
统计起始时刻:, 2015/10/26 15:29:05.717
统计结束时刻:, 2015/10/26 15:39:05.717
Left Value,4.952727
Right Value,6.392727
Max,4.952712
Min,6.392727
Average,5.691187
AverageS,0.037298
UCL,5.751007
LCL,5.629566
Cp,107.245708
Cpk,50.854901
Sk,-368.668244
Ku,139052.271573

曲线数据
起始时刻:, 2015/10/26 15:29:05.717
结束时刻:, 2015/10/26 15:39:05.717
时间,数值,注释
 2015/10/26 15:29:04.766,4.952727,
 2015/10/26 15:29:18.272,4.952712,
 2015/10/26 15:29:19.772,4.952727,
 2015/10/26 15:29:20.523,6.392727,
 2015/10/26 15:29:48.284,6.392676,
 2015/10/26 15:29:49.785,6.392727,
 2015/10/26 15:29:51.285,4.952727,
 2015/10/26 15:30:18.297,4.952712,
 2015/10/26 15:30:19.797,4.952727,
 2015/10/26 15:30:48.309,4.952712,
 2015/10/26 15:30:49.059,4.952727,
 2015/10/26 15:30:53.561,6.392727,
 2015/10/26 15:31:18.322,6.392676,
 2015/10/26 15:31:19.822,6.392727,
 2015/10/26 15:31:48.334,6.392676,
 2015/10/26 15:31:50.585,6.392727,
 2015/10/26 15:32:35.604,6.392676,
 2015/10/26 15:32:36.354,6.392727,
 2015/10/26 15:32:53.611,6.392676,
 2015/10/26 15:32:54.362,6.392727,
 2015/10/26 15:32:59.614,4.952727,
 2015/10/26 15:33:20.622,4.952712,
 2015/10/26 15:33:21.373,4.952727,
 2015/10/26 15:33:48.384,4.952712,
 2015/10/26 15:33:49.885,4.952727,
 2015/10/26 15:34:01.890,6.392727,
 2015/10/26 15:34:19.147,6.392676,
 2015/10/26 15:34:20.647,6.392727,
 2015/10/26 15:34:32.652,4.952727,
 2015/10/26 15:34:50.660,4.952712,
 2015/10/26 15:34:51.410,4.952727,
 2015/10/26 15:35:03.415,6.392727,
 2015/10/26 15:35:21.423,6.392676,
 2015/10/26 15:35:22.173,6.392727,
 2015/10/26 15:35:49.184,6.392676,
 2015/10/26 15:35:50.685,6.392727,
 2015/10/26 15:36:06.441,4.952727,
 2015/10/26 15:36:23.699,4.952712,
 2015/10/26 15:36:24.449,4.952727,
 2015/10/26 15:36:49.209,4.952712,
 2015/10/26 15:36:51.460,4.952727,
 2015/10/26 15:37:08.717,6.392727,
 2015/10/26 15:37:26.725,6.392676,
 2015/10/26 15:37:27.475,6.392727,
 2015/10/26 15:37:39.480,4.952727,
 2015/10/26 15:37:57.488,4.952712,
 2015/10/26 15:37:58.238,4.952727,
 2015/10/26 15:38:20.747,4.952712,
 2015/10/26 15:38:21.498,4.952727,
 2015/10/26 15:38:26.890,4.952727,
 2015/10/26 15:38:27.983,4.952727,
 2015/10/26 15:38:41.655,6.392727,
 2015/10/26 15:38:59.155,6.392676,
 2015/10/26 15:39:00.250,6.392727,
 2015/10/26 15:39:01.342,6.392727,
 2015/10/26 15:39:02.437,6.392727,
 2015/10/26 15:39:05.717,6.392727,
