曲线名:水位3

统计数据
统计起始时刻:, 2015/10/26 16:06:11.608
统计结束时刻:, 2015/10/26 16:16:11.608
Left Value,127.500000
Right Value,142.555556
Max,82.805557
Min,146.027778
Average,113.069736
AverageS,0.359740
UCL,113.708708
LCL,112.537393
Cp,162.153967
Cpk,104.819150
Sk,23862.432253
Ku,10586430.113882

曲线数据
起始时刻:, 2015/10/26 16:06:11.608
结束时刻:, 2015/10/26 16:16:11.608
时间,数值,注释
 2015/10/26 16:06:11.000,127.500000,
 2015/10/26 16:06:11.750,126.888885,
 2015/10/26 16:06:12.500,127.250000,
 2015/10/26 16:06:13.250,128.111115,
 2015/10/26 16:06:14.750,128.361115,
 2015/10/26 16:06:15.500,127.916664,
 2015/10/26 16:06:16.250,128.666672,
 2015/10/26 16:06:17.750,128.944443,
 2015/10/26 16:06:18.500,129.000000,
 2015/10/26 16:06:19.250,129.888885,
 2015/10/26 16:06:20.000,129.527771,
 2015/10/26 16:06:21.500,129.694443,
 2015/10/26 16:06:22.250,129.944443,
 2015/10/26 16:06:23.750,130.250000,
 2015/10/26 16:06:25.250,130.083328,
 2015/10/26 16:06:26.750,130.861115,
 2015/10/26 16:06:27.500,131.000000,
 2015/10/26 16:06:28.250,130.638885,
 2015/10/26 16:06:29.750,130.888885,
 2015/10/26 16:06:30.500,131.277771,
 2015/10/26 16:06:31.250,131.722229,
 2015/10/26 16:06:32.750,131.388885,
 2015/10/26 16:06:33.500,131.861115,
 2015/10/26 16:06:34.250,131.722229,
 2015/10/26 16:06:35.750,131.888885,
 2015/10/26 16:06:36.500,132.611115,
 2015/10/26 16:06:37.250,132.194443,
 2015/10/26 16:06:38.750,132.555557,
 2015/10/26 16:06:39.500,133.333328,
 2015/10/26 16:06:40.250,133.638885,
 2015/10/26 16:06:41.750,132.916672,
 2015/10/26 16:06:42.500,133.611115,
 2015/10/26 16:06:43.250,133.944443,
 2015/10/26 16:06:44.750,133.722229,
 2015/10/26 16:06:45.500,134.861115,
 2015/10/26 16:06:46.250,134.388885,
 2015/10/26 16:06:47.750,133.416672,
 2015/10/26 16:06:48.500,132.972229,
 2015/10/26 16:06:49.250,132.666672,
 2015/10/26 16:06:50.750,131.694443,
 2015/10/26 16:06:51.500,131.444443,
 2015/10/26 16:06:52.250,131.250000,
 2015/10/26 16:06:53.750,130.250000,
 2015/10/26 16:06:54.500,129.472229,
 2015/10/26 16:06:55.250,129.638885,
 2015/10/26 16:06:56.750,128.972229,
 2015/10/26 16:06:57.500,128.055557,
 2015/10/26 16:06:58.250,127.361115,
 2015/10/26 16:06:59.000,127.527779,
 2015/10/26 16:07:00.500,126.750000,
 2015/10/26 16:07:01.250,126.027779,
 2015/10/26 16:07:02.750,125.972221,
 2015/10/26 16:07:03.500,125.222221,
 2015/10/26 16:07:04.250,124.638885,
 2015/10/26 16:07:05.750,124.666664,
 2015/10/26 16:07:06.500,124.055557,
 2015/10/26 16:07:07.250,123.638885,
 2015/10/26 16:07:08.750,123.388885,
 2015/10/26 16:07:09.500,122.972221,
 2015/10/26 16:07:10.250,122.083336,
 2015/10/26 16:07:11.750,122.194443,
 2015/10/26 16:07:12.500,121.555557,
 2015/10/26 16:07:13.250,120.833336,
 2015/10/26 16:07:14.750,120.861115,
 2015/10/26 16:07:15.500,120.194443,
 2015/10/26 16:07:16.250,119.888885,
 2015/10/26 16:07:17.750,119.638885,
 2015/10/26 16:07:18.500,119.250000,
 2015/10/26 16:07:19.250,118.777779,
 2015/10/26 16:07:20.750,118.416664,
 2015/10/26 16:07:21.500,117.916664,
 2015/10/26 16:07:22.250,117.555557,
 2015/10/26 16:07:23.750,116.666664,
 2015/10/26 16:07:24.500,116.416664,
 2015/10/26 16:07:25.250,116.194443,
 2015/10/26 16:07:26.750,115.555557,
 2015/10/26 16:07:27.500,115.166664,
 2015/10/26 16:07:28.250,115.722221,
 2015/10/26 16:07:29.750,114.472221,
 2015/10/26 16:07:30.500,114.000000,
 2015/10/26 16:07:31.250,114.055557,
 2015/10/26 16:07:32.750,113.222221,
 2015/10/26 16:07:33.500,112.944443,
 2015/10/26 16:07:34.250,113.027779,
 2015/10/26 16:07:35.750,112.555557,
 2015/10/26 16:07:36.500,111.805557,
 2015/10/26 16:07:37.250,112.055557,
 2015/10/26 16:07:38.000,111.361115,
 2015/10/26 16:07:39.500,111.083336,
 2015/10/26 16:07:40.250,111.000000,
 2015/10/26 16:07:41.750,110.611115,
 2015/10/26 16:07:42.500,110.027779,
 2015/10/26 16:07:43.250,110.000000,
 2015/10/26 16:07:44.750,109.555557,
 2015/10/26 16:07:45.500,109.083336,
 2015/10/26 16:07:47.750,108.694443,
 2015/10/26 16:07:48.500,108.111115,
 2015/10/26 16:07:49.250,107.388885,
 2015/10/26 16:07:50.750,107.027779,
 2015/10/26 16:07:51.500,107.194443,
 2015/10/26 16:07:52.250,106.444443,
 2015/10/26 16:07:53.750,106.361115,
 2015/10/26 16:07:54.500,106.222221,
 2015/10/26 16:07:55.250,105.416664,
 2015/10/26 16:07:56.750,105.027779,
 2015/10/26 16:07:57.500,105.111115,
 2015/10/26 16:07:58.250,104.694443,
 2015/10/26 16:07:59.750,104.250000,
 2015/10/26 16:08:00.500,104.083336,
 2015/10/26 16:08:01.250,103.611115,
 2015/10/26 16:08:02.750,103.194443,
 2015/10/26 16:08:03.500,103.416664,
 2015/10/26 16:08:04.250,102.972221,
 2015/10/26 16:08:05.750,102.416664,
 2015/10/26 16:08:06.500,102.555557,
 2015/10/26 16:08:07.250,101.944443,
 2015/10/26 16:08:08.750,101.388885,
 2015/10/26 16:08:09.500,101.555557,
 2015/10/26 16:08:10.250,100.916664,
 2015/10/26 16:08:12.500,100.694443,
 2015/10/26 16:08:13.250,100.611115,
 2015/10/26 16:08:14.750,100.027779,
 2015/10/26 16:08:15.500,99.500000,
 2015/10/26 16:08:17.000,99.361115,
 2015/10/26 16:08:18.500,99.305557,
 2015/10/26 16:08:19.250,99.000000,
 2015/10/26 16:08:20.750,98.666664,
 2015/10/26 16:08:21.500,98.222221,
 2015/10/26 16:08:22.250,98.277779,
 2015/10/26 16:08:23.750,98.027779,
 2015/10/26 16:08:24.500,97.250000,
 2015/10/26 16:08:25.250,97.083336,
 2015/10/26 16:08:26.750,97.722221,
 2015/10/26 16:08:27.500,96.611115,
 2015/10/26 16:08:28.250,96.361115,
 2015/10/26 16:08:29.750,96.527779,
 2015/10/26 16:08:30.500,96.000000,
 2015/10/26 16:08:31.250,95.694443,
 2015/10/26 16:08:33.500,95.194443,
 2015/10/26 16:08:34.250,95.055557,
 2015/10/26 16:08:35.750,95.694443,
 2015/10/26 16:08:36.500,94.833336,
 2015/10/26 16:08:37.250,94.277779,
 2015/10/26 16:08:38.750,94.416664,
 2015/10/26 16:08:39.500,94.277779,
 2015/10/26 16:08:40.250,93.833336,
 2015/10/26 16:08:42.500,93.583336,
 2015/10/26 16:08:43.250,93.250000,
 2015/10/26 16:08:45.500,92.916664,
 2015/10/26 16:08:46.250,92.666664,
 2015/10/26 16:08:47.750,91.972221,
 2015/10/26 16:08:48.500,92.333336,
 2015/10/26 16:08:49.250,91.861115,
 2015/10/26 16:08:50.750,90.861115,
 2015/10/26 16:08:51.500,91.333336,
 2015/10/26 16:08:52.250,91.944443,
 2015/10/26 16:08:53.750,92.305557,
 2015/10/26 16:08:54.500,92.583336,
 2015/10/26 16:08:55.250,93.444443,
 2015/10/26 16:08:56.000,93.500000,
 2015/10/26 16:08:57.500,94.055557,
 2015/10/26 16:08:58.250,95.138885,
 2015/10/26 16:08:59.750,94.666664,
 2015/10/26 16:09:00.500,95.222221,
 2015/10/26 16:09:01.250,96.222221,
 2015/10/26 16:09:02.750,96.000000,
 2015/10/26 16:09:03.500,96.333336,
 2015/10/26 16:09:04.250,97.722221,
 2015/10/26 16:09:05.750,98.000000,
 2015/10/26 16:09:06.500,98.305557,
 2015/10/26 16:09:07.250,98.472221,
 2015/10/26 16:09:08.750,99.083336,
 2015/10/26 16:09:09.500,98.750000,
 2015/10/26 16:09:10.250,99.944443,
 2015/10/26 16:09:11.750,100.444443,
 2015/10/26 16:09:12.500,100.694443,
 2015/10/26 16:09:13.250,101.000000,
 2015/10/26 16:09:14.750,101.194443,
 2015/10/26 16:09:15.500,101.638885,
 2015/10/26 16:09:16.250,101.472221,
 2015/10/26 16:09:17.750,101.972221,
 2015/10/26 16:09:18.500,102.722221,
 2015/10/26 16:09:19.250,102.555557,
 2015/10/26 16:09:20.750,103.166664,
 2015/10/26 16:09:21.500,103.833336,
 2015/10/26 16:09:22.250,103.722221,
 2015/10/26 16:09:23.750,104.333336,
 2015/10/26 16:09:24.500,104.722221,
 2015/10/26 16:09:25.250,104.861115,
 2015/10/26 16:09:26.750,104.666664,
 2015/10/26 16:09:27.500,106.277779,
 2015/10/26 16:09:28.250,105.805557,
 2015/10/26 16:09:29.750,106.250000,
 2015/10/26 16:09:30.500,107.055557,
 2015/10/26 16:09:31.250,107.361115,
 2015/10/26 16:09:32.750,106.833336,
 2015/10/26 16:09:33.500,108.222221,
 2015/10/26 16:09:34.250,108.472221,
 2015/10/26 16:09:35.000,107.805557,
 2015/10/26 16:09:36.500,109.055557,
 2015/10/26 16:09:37.250,109.416664,
 2015/10/26 16:09:38.750,109.583336,
 2015/10/26 16:09:39.500,109.805557,
 2015/10/26 16:09:40.250,110.250000,
 2015/10/26 16:09:41.750,110.527779,
 2015/10/26 16:09:42.500,110.861115,
 2015/10/26 16:09:43.250,111.388885,
 2015/10/26 16:09:46.250,111.666664,
 2015/10/26 16:09:47.750,112.500000,
 2015/10/26 16:09:48.500,111.944443,
 2015/10/26 16:09:49.250,113.055557,
 2015/10/26 16:09:50.750,113.083336,
 2015/10/26 16:09:51.500,112.972221,
 2015/10/26 16:09:52.250,113.944443,
 2015/10/26 16:09:53.750,114.250000,
 2015/10/26 16:09:54.500,113.555557,
 2015/10/26 16:09:55.250,113.000000,
 2015/10/26 16:09:56.750,113.166664,
 2015/10/26 16:09:57.500,112.194443,
 2015/10/26 16:09:58.250,111.916664,
 2015/10/26 16:09:59.750,111.555557,
 2015/10/26 16:10:00.500,111.277779,
 2015/10/26 16:10:01.250,110.694443,
 2015/10/26 16:10:02.750,110.361115,
 2015/10/26 16:10:03.500,110.250000,
 2015/10/26 16:10:04.250,109.722221,
 2015/10/26 16:10:05.750,109.472221,
 2015/10/26 16:10:06.500,109.194443,
 2015/10/26 16:10:07.250,108.666664,
 2015/10/26 16:10:08.750,108.638885,
 2015/10/26 16:10:09.500,108.250000,
 2015/10/26 16:10:10.250,107.805557,
 2015/10/26 16:10:11.750,107.083336,
 2015/10/26 16:10:12.500,107.277779,
 2015/10/26 16:10:13.250,106.527779,
 2015/10/26 16:10:14.000,106.861115,
 2015/10/26 16:10:15.500,106.500000,
 2015/10/26 16:10:16.250,105.861115,
 2015/10/26 16:10:17.750,105.333336,
 2015/10/26 16:10:18.500,105.250000,
 2015/10/26 16:10:19.250,105.138885,
 2015/10/26 16:10:20.750,104.500000,
 2015/10/26 16:10:21.500,104.055557,
 2015/10/26 16:10:22.250,104.000000,
 2015/10/26 16:10:23.750,103.666664,
 2015/10/26 16:10:24.500,103.333336,
 2015/10/26 16:10:25.250,103.388885,
 2015/10/26 16:10:26.750,103.083336,
 2015/10/26 16:10:27.500,102.305557,
 2015/10/26 16:10:28.250,102.444443,
 2015/10/26 16:10:29.750,102.166664,
 2015/10/26 16:10:30.500,101.444443,
 2015/10/26 16:10:31.250,101.638885,
 2015/10/26 16:10:32.750,101.305557,
 2015/10/26 16:10:33.500,100.694443,
 2015/10/26 16:10:34.250,100.305557,
 2015/10/26 16:10:35.750,100.472221,
 2015/10/26 16:10:36.500,99.861115,
