曲线名:水位3

统计数据
统计起始时刻:, 2015/10/26 14:56:57.530
统计结束时刻:, 2015/10/26 15:06:57.530
Left Value,166.611115
Right Value,225.888889
Max,166.166672
Min,227.027778
Average,210.387006
AverageS,0.398642
UCL,210.929719
LCL,209.631741
Cp,146.330087
Cpk,116.829331
Sk,-74586.391673
Ku,8685981.380186

曲线数据
起始时刻:, 2015/10/26 14:56:57.530
结束时刻:, 2015/10/26 15:06:57.530
时间,数值,注释
 2015/10/26 14:56:56.772,165.138885,
 2015/10/26 14:56:57.523,166.611115,
 2015/10/26 14:56:58.273,166.166672,
 2015/10/26 14:56:59.774,166.555557,
 2015/10/26 14:57:00.524,166.333328,
 2015/10/26 14:57:01.274,167.027771,
 2015/10/26 14:57:02.775,166.972229,
 2015/10/26 14:57:03.525,167.388885,
 2015/10/26 14:57:04.275,168.138885,
 2015/10/26 14:57:05.026,167.694443,
 2015/10/26 14:57:06.526,167.944443,
 2015/10/26 14:57:07.277,169.027771,
 2015/10/26 14:57:08.777,168.361115,
 2015/10/26 14:57:09.528,168.916672,
 2015/10/26 14:57:10.278,170.500000,
 2015/10/26 14:57:11.779,170.361115,
 2015/10/26 14:57:12.529,170.388885,
 2015/10/26 14:57:13.279,171.888885,
 2015/10/26 14:57:14.780,170.861115,
 2015/10/26 14:57:15.530,171.250000,
 2015/10/26 14:57:16.280,171.138885,
 2015/10/26 14:57:17.031,172.222229,
 2015/10/26 14:57:19.282,172.888885,
 2015/10/26 14:57:20.782,173.166672,
 2015/10/26 14:57:22.283,173.138885,
 2015/10/26 14:57:23.784,173.944443,
 2015/10/26 14:57:24.534,174.000000,
 2015/10/26 14:57:25.284,174.277771,
 2015/10/26 14:57:26.785,174.388885,
 2015/10/26 14:57:27.535,174.694443,
 2015/10/26 14:57:28.285,174.611115,
 2015/10/26 14:57:29.786,175.250000,
 2015/10/26 14:57:30.536,175.916672,
 2015/10/26 14:57:31.287,175.694443,
 2015/10/26 14:57:32.037,175.638885,
 2015/10/26 14:57:33.538,176.694443,
 2015/10/26 14:57:34.288,176.055557,
 2015/10/26 14:57:35.789,177.000000,
 2015/10/26 14:57:36.539,177.666672,
 2015/10/26 14:57:37.289,177.833328,
 2015/10/26 14:57:38.790,177.305557,
 2015/10/26 14:57:39.540,178.222229,
 2015/10/26 14:57:40.290,178.583328,
 2015/10/26 14:57:41.791,178.805557,
 2015/10/26 14:57:42.541,179.222229,
 2015/10/26 14:57:43.292,179.694443,
 2015/10/26 14:57:44.042,178.916672,
 2015/10/26 14:57:45.543,179.861115,
 2015/10/26 14:57:46.293,180.444443,
 2015/10/26 14:57:47.794,180.555557,
 2015/10/26 14:57:48.544,180.194443,
 2015/10/26 14:57:49.294,180.777771,
 2015/10/26 14:57:50.795,181.388885,
 2015/10/26 14:57:51.545,180.861115,
 2015/10/26 14:57:52.295,181.444443,
 2015/10/26 14:57:53.796,181.777771,
 2015/10/26 14:57:54.546,181.750000,
 2015/10/26 14:57:55.297,181.805557,
 2015/10/26 14:57:56.047,182.805557,
 2015/10/26 14:57:57.548,182.500000,
 2015/10/26 14:57:58.298,182.305557,
 2015/10/26 14:57:59.048,183.638885,
 2015/10/26 14:58:00.549,182.694443,
 2015/10/26 14:58:01.299,183.166672,
 2015/10/26 14:58:02.800,184.166672,
 2015/10/26 14:58:03.550,183.861115,
 2015/10/26 14:58:04.300,183.666672,
 2015/10/26 14:58:05.801,185.250000,
 2015/10/26 14:58:06.551,185.222229,
 2015/10/26 14:58:07.302,185.388885,
 2015/10/26 14:58:08.802,185.694443,
 2015/10/26 14:58:09.553,185.916672,
 2015/10/26 14:58:10.303,185.666672,
 2015/10/26 14:58:11.053,186.527771,
 2015/10/26 14:58:12.554,186.333328,
 2015/10/26 14:58:13.304,186.583328,
 2015/10/26 14:58:14.805,186.916672,
 2015/10/26 14:58:15.555,186.833328,
 2015/10/26 14:58:16.305,187.694443,
 2015/10/26 14:58:17.806,186.944443,
 2015/10/26 14:58:18.556,187.833328,
 2015/10/26 14:58:19.307,188.000000,
 2015/10/26 14:58:20.807,187.861115,
 2015/10/26 14:58:21.558,188.777771,
 2015/10/26 14:58:22.308,188.583328,
 2015/10/26 14:58:23.058,187.944443,
 2015/10/26 14:58:24.559,188.611115,
 2015/10/26 14:58:25.309,189.694443,
 2015/10/26 14:58:26.810,189.000000,
 2015/10/26 14:58:27.560,189.222229,
 2015/10/26 14:58:28.310,190.111115,
 2015/10/26 14:58:29.811,189.666672,
 2015/10/26 14:58:30.561,190.166672,
 2015/10/26 14:58:31.312,190.416672,
 2015/10/26 14:58:32.812,190.722229,
 2015/10/26 14:58:33.563,189.972229,
 2015/10/26 14:58:34.313,191.500000,
 2015/10/26 14:58:35.063,191.388885,
 2015/10/26 14:58:36.564,190.666672,
