曲线名:水位3

统计数据
统计起始时刻:, 2015/10/29 10:52:14.092
统计结束时刻:, 2015/10/29 11:32:14.092
Left Value,15.500000
Right Value,31.444445
Max,-5.083333
Min,197.916672
Average,142.091707
AverageS,2.905988
UCL,146.037996
LCL,136.576100
Cp,20.073496
Cpk,16.208723
Sk,-9973.838889
Ku,487924.264692

曲线数据
起始时刻:, 2015/10/29 10:52:14.092
结束时刻:, 2015/10/29 11:32:14.092
时间,数值,注释
 2015/10/29 10:52:10.000,15.500000,
 2015/10/29 10:55:05.000,-3.416667,
 2015/10/29 10:55:10.000,-3.500000,
 2015/10/29 10:55:15.000,-3.361111,
 2015/10/29 10:55:20.000,-3.416667,
 2015/10/29 10:55:25.000,-3.361111,
 2015/10/29 10:55:30.000,-3.305556,
 2015/10/29 10:55:40.000,-3.416667,
 2015/10/29 10:55:45.000,-3.333333,
 2015/10/29 10:55:50.000,-3.416667,
 2015/10/29 10:55:55.000,-3.388889,
 2015/10/29 10:56:00.000,-5.083333,
 2015/10/29 10:56:05.000,3.916667,
 2015/10/29 10:56:10.000,16.555555,
 2015/10/29 10:56:15.000,28.694445,
 2015/10/29 10:56:20.000,36.750000,
 2015/10/29 10:56:25.000,45.888889,
 2015/10/29 10:56:30.000,51.638889,
 2015/10/29 10:56:35.000,57.250000,
 2015/10/29 10:56:40.000,68.055557,
 2015/10/29 10:56:45.000,78.500000,
 2015/10/29 10:56:50.000,91.777779,
 2015/10/29 10:56:55.000,100.972221,
 2015/10/29 10:57:00.000,111.972221,
 2015/10/29 10:57:05.000,121.222221,
 2015/10/29 10:57:10.000,130.555557,
 2015/10/29 10:57:15.000,140.694443,
 2015/10/29 10:57:20.000,151.444443,
 2015/10/29 10:57:25.000,151.166672,
 2015/10/29 10:57:30.000,151.083328,
 2015/10/29 10:57:35.000,150.694443,
 2015/10/29 10:57:40.000,149.722229,
 2015/10/29 10:57:45.000,150.138885,
 2015/10/29 10:57:50.000,148.750000,
 2015/10/29 10:57:55.000,149.027771,
 2015/10/29 10:58:00.000,148.638885,
 2015/10/29 10:58:05.000,148.027771,
 2015/10/29 10:58:10.000,147.416672,
 2015/10/29 10:58:15.000,147.277771,
 2015/10/29 10:58:20.000,147.138885,
 2015/10/29 10:58:25.000,147.166672,
 2015/10/29 10:58:30.000,146.916672,
 2015/10/29 10:58:35.000,146.000000,
 2015/10/29 10:58:40.000,146.083328,
 2015/10/29 10:58:45.000,146.500000,
 2015/10/29 10:58:50.000,148.083328,
 2015/10/29 10:58:55.000,148.916672,
 2015/10/29 10:59:00.000,149.972229,
 2015/10/29 10:59:05.000,149.888885,
 2015/10/29 10:59:10.000,150.666672,
 2015/10/29 10:59:15.000,151.833328,
 2015/10/29 10:59:20.000,152.388885,
 2015/10/29 10:59:25.000,153.805557,
 2015/10/29 10:59:30.000,153.750000,
 2015/10/29 10:59:35.000,154.361115,
 2015/10/29 10:59:40.000,156.611115,
 2015/10/29 10:59:45.000,159.333328,
 2015/10/29 10:59:50.000,161.611115,
 2015/10/29 10:59:55.000,163.722229,
 2015/10/29 11:00:00.000,166.277771,
 2015/10/29 11:00:05.000,163.472229,
 2015/10/29 11:00:10.000,161.416672,
 2015/10/29 11:00:15.000,158.222229,
 2015/10/29 11:00:20.000,156.888885,
 2015/10/29 11:00:25.000,153.972229,
 2015/10/29 11:00:30.000,154.083328,
 2015/10/29 11:00:35.000,158.222229,
 2015/10/29 11:00:40.000,159.777771,
 2015/10/29 11:00:45.000,162.083328,
 2015/10/29 11:00:50.000,164.194443,
 2015/10/29 11:00:55.000,163.750000,
 2015/10/29 11:01:00.000,161.500000,
 2015/10/29 11:01:05.000,159.166672,
 2015/10/29 11:01:10.000,156.666672,
 2015/10/29 11:01:15.000,154.805557,
 2015/10/29 11:01:20.000,153.194443,
 2015/10/29 11:01:25.000,156.416672,
 2015/10/29 11:01:30.000,157.833328,
 2015/10/29 11:01:35.000,161.111115,
 2015/10/29 11:01:40.000,164.194443,
 2015/10/29 11:01:45.000,165.166672,
 2015/10/29 11:01:50.000,166.472229,
 2015/10/29 11:01:55.000,168.500000,
 2015/10/29 11:02:00.000,171.333328,
 2015/10/29 11:02:05.000,173.083328,
 2015/10/29 11:02:10.000,174.888885,
 2015/10/29 11:02:15.000,176.444443,
 2015/10/29 11:02:20.000,178.305557,
 2015/10/29 11:02:25.000,179.555557,
 2015/10/29 11:02:30.000,181.861115,
 2015/10/29 11:02:35.000,183.138885,
 2015/10/29 11:02:40.000,181.166672,
 2015/10/29 11:02:45.000,177.333328,
 2015/10/29 11:02:50.000,174.666672,
 2015/10/29 11:02:55.000,171.861115,
 2015/10/29 11:03:00.000,168.861115,
 2015/10/29 11:03:05.000,168.361115,
 2015/10/29 11:03:10.000,169.944443,
 2015/10/29 11:03:15.000,172.222229,
 2015/10/29 11:03:20.000,173.722229,
 2015/10/29 11:03:25.000,175.111115,
 2015/10/29 11:03:30.000,177.777771,
 2015/10/29 11:03:35.000,179.277771,
 2015/10/29 11:03:40.000,180.833328,
 2015/10/29 11:03:45.000,181.833328,
 2015/10/29 11:03:50.000,183.861115,
 2015/10/29 11:03:55.000,185.527771,
 2015/10/29 11:04:00.000,182.083328,
 2015/10/29 11:04:05.000,178.444443,
 2015/10/29 11:04:10.000,175.861115,
 2015/10/29 11:04:15.000,172.555557,
 2015/10/29 11:04:20.000,170.083328,
 2015/10/29 11:04:25.000,167.055557,
 2015/10/29 11:04:30.000,164.111115,
 2015/10/29 11:04:35.000,161.694443,
 2015/10/29 11:04:40.000,158.666672,
 2015/10/29 11:04:45.000,156.166672,
 2015/10/29 11:04:50.000,153.916672,
 2015/10/29 11:04:55.000,151.222229,
 2015/10/29 11:05:00.000,149.222229,
 2015/10/29 11:05:05.000,147.222229,
 2015/10/29 11:05:10.000,145.083328,
 2015/10/29 11:05:15.000,145.500000,
 2015/10/29 11:05:20.000,148.472229,
 2015/10/29 11:05:25.000,150.472229,
 2015/10/29 11:05:30.000,152.944443,
 2015/10/29 11:05:35.000,154.833328,
 2015/10/29 11:05:40.000,157.722229,
 2015/10/29 11:05:45.000,160.194443,
 2015/10/29 11:05:50.000,162.194443,
 2015/10/29 11:05:55.000,163.916672,
 2015/10/29 11:06:00.000,166.222229,
 2015/10/29 11:06:05.000,167.805557,
 2015/10/29 11:06:10.000,170.666672,
 2015/10/29 11:06:15.000,172.416672,
 2015/10/29 11:06:20.000,174.222229,
 2015/10/29 11:06:25.000,175.861115,
 2015/10/29 11:06:30.000,177.277771,
 2015/10/29 11:06:35.000,179.916672,
 2015/10/29 11:06:40.000,180.944443,
 2015/10/29 11:06:45.000,182.888885,
 2015/10/29 11:06:50.000,183.777771,
 2015/10/29 11:06:55.000,185.916672,
 2015/10/29 11:07:00.000,186.833328,
 2015/10/29 11:07:05.000,189.000000,
 2015/10/29 11:07:10.000,190.555557,
 2015/10/29 11:07:15.000,192.277771,
 2015/10/29 11:07:20.000,193.166672,
 2015/10/29 11:07:25.000,192.666672,
 2015/10/29 11:07:30.000,189.027771,
 2015/10/29 11:07:35.000,185.777771,
 2015/10/29 11:07:40.000,182.555557,
 2015/10/29 11:07:45.000,179.583328,
 2015/10/29 11:07:50.000,176.222229,
 2015/10/29 11:07:55.000,173.055557,
 2015/10/29 11:08:00.000,170.333328,
 2015/10/29 11:08:05.000,167.972229,
 2015/10/29 11:08:10.000,164.833328,
 2015/10/29 11:08:15.000,163.111115,
 2015/10/29 11:08:20.000,164.583328,
 2015/10/29 11:08:25.000,167.388885,
 2015/10/29 11:08:30.000,168.833328,
 2015/10/29 11:08:35.000,171.472229,
 2015/10/29 11:08:40.000,173.583328,
 2015/10/29 11:08:45.000,175.194443,
 2015/10/29 11:08:50.000,176.500000,
 2015/10/29 11:08:55.000,178.250000,
 2015/10/29 11:09:00.000,181.083328,
 2015/10/29 11:09:05.000,182.583328,
 2015/10/29 11:09:10.000,181.944443,
 2015/10/29 11:09:15.000,178.222229,
 2015/10/29 11:09:20.000,175.722229,
 2015/10/29 11:09:25.000,172.805557,
 2015/10/29 11:09:30.000,170.555557,
 2015/10/29 11:09:35.000,169.305557,
 2015/10/29 11:09:40.000,171.750000,
 2015/10/29 11:09:45.000,173.611115,
 2015/10/29 11:09:50.000,175.333328,
 2015/10/29 11:09:55.000,178.055557,
 2015/10/29 11:10:00.000,178.916672,
 2015/10/29 11:10:05.000,176.305557,
 2015/10/29 11:10:10.000,172.805557,
 2015/10/29 11:10:15.000,170.472229,
 2015/10/29 11:10:20.000,167.638885,
 2015/10/29 11:10:25.000,165.222229,
 2015/10/29 11:10:30.000,162.638885,
 2015/10/29 11:10:35.000,160.583328,
 2015/10/29 11:10:40.000,157.972229,
 2015/10/29 11:10:45.000,156.138885,
 2015/10/29 11:10:50.000,154.027771,
 2015/10/29 11:10:55.000,155.583328,
 2015/10/29 11:11:00.000,158.055557,
 2015/10/29 11:11:05.000,159.888885,
 2015/10/29 11:11:10.000,163.166672,
 2015/10/29 11:11:15.000,164.722229,
 2015/10/29 11:11:20.000,164.666672,
 2015/10/29 11:11:25.000,161.694443,
 2015/10/29 11:11:30.000,159.638885,
 2015/10/29 11:11:35.000,156.805557,
 2015/10/29 11:11:40.000,154.861115,
 2015/10/29 11:11:45.000,152.611115,
 2015/10/29 11:11:50.000,150.944443,
 2015/10/29 11:11:55.000,148.944443,
 2015/10/29 11:12:00.000,146.305557,
 2015/10/29 11:12:05.000,145.000000,
 2015/10/29 11:12:10.000,142.694443,
 2015/10/29 11:12:15.000,141.500000,
 2015/10/29 11:12:20.000,139.722229,
 2015/10/29 11:12:25.000,137.888885,
 2015/10/29 11:12:30.000,136.055557,
 2015/10/29 11:12:35.000,134.694443,
 2015/10/29 11:12:40.000,133.166672,
 2015/10/29 11:12:45.000,131.500000,
 2015/10/29 11:12:50.000,130.583328,
 2015/10/29 11:12:55.000,128.805557,
 2015/10/29 11:13:00.000,127.944443,
 2015/10/29 11:13:05.000,129.777771,
 2015/10/29 11:13:10.000,132.694443,
 2015/10/29 11:13:15.000,136.250000,
 2015/10/29 11:13:20.000,139.222229,
