曲线名:水位3

统计数据
统计起始时刻:, 2015/10/29 11:40:46.531
统计结束时刻:, 2015/10/29 12:30:46.531
Left Value,146.805557
Right Value,176.166672
Max,98.250000
Min,204.194443
Average,151.244500
AverageS,2.600514
UCL,155.456089
LCL,146.988815
Cp,22.431464
Cpk,19.383663
Sk,-185.087899
Ku,16346.644292

曲线数据
起始时刻:, 2015/10/29 11:40:46.531
结束时刻:, 2015/10/29 12:30:46.531
时间,数值,注释
 2015/10/29 11:40:45.000,146.805557,
 2015/10/29 11:40:55.000,134.277771,
 2015/10/29 11:41:00.000,134.138885,
 2015/10/29 11:41:05.000,133.888885,
 2015/10/29 11:41:10.000,133.583328,
 2015/10/29 11:41:15.000,133.416672,
 2015/10/29 11:41:20.000,133.000000,
 2015/10/29 11:41:25.000,132.833328,
 2015/10/29 11:41:30.000,132.500000,
 2015/10/29 11:41:45.000,131.972229,
 2015/10/29 11:41:50.000,131.694443,
 2015/10/29 11:41:55.000,131.277771,
 2015/10/29 11:42:00.000,131.000000,
 2015/10/29 11:42:05.000,130.888885,
 2015/10/29 11:42:10.000,130.638885,
 2015/10/29 11:42:15.000,130.222229,
 2015/10/29 11:42:20.000,130.138885,
 2015/10/29 11:42:25.000,129.805557,
 2015/10/29 11:42:30.000,129.500000,
 2015/10/29 11:42:35.000,130.416672,
 2015/10/29 11:42:40.000,136.694443,
 2015/10/29 11:42:45.000,143.250000,
 2015/10/29 11:42:50.000,149.083328,
 2015/10/29 11:42:55.000,150.138885,
 2015/10/29 11:43:00.000,152.138885,
 2015/10/29 11:43:05.000,152.611115,
 2015/10/29 11:43:10.000,152.861115,
 2015/10/29 11:43:15.000,153.166672,
 2015/10/29 11:43:20.000,152.555557,
 2015/10/29 11:43:25.000,152.972229,
 2015/10/29 11:43:30.000,152.750000,
 2015/10/29 11:43:35.000,153.277771,
 2015/10/29 11:43:40.000,153.333328,
 2015/10/29 11:43:45.000,153.805557,
 2015/10/29 11:43:50.000,153.555557,
 2015/10/29 11:43:55.000,155.583328,
 2015/10/29 11:44:00.000,158.500000,
 2015/10/29 11:44:05.000,160.111115,
 2015/10/29 11:44:10.000,162.000000,
 2015/10/29 11:44:15.000,163.583328,
 2015/10/29 11:44:20.000,165.416672,
 2015/10/29 11:44:25.000,166.777771,
 2015/10/29 11:44:30.000,168.166672,
 2015/10/29 11:44:35.000,170.583328,
 2015/10/29 11:44:40.000,172.138885,
 2015/10/29 11:44:45.000,173.861115,
 2015/10/29 11:44:50.000,175.027771,
 2015/10/29 11:44:55.000,176.888885,
 2015/10/29 11:45:00.000,177.388885,
 2015/10/29 11:45:05.000,179.611115,
 2015/10/29 11:45:10.000,180.250000,
 2015/10/29 11:45:15.000,181.861115,
 2015/10/29 11:45:20.000,182.611115,
 2015/10/29 11:45:25.000,183.416672,
 2015/10/29 11:45:30.000,185.444443,
 2015/10/29 11:45:35.000,186.333328,
 2015/10/29 11:45:40.000,187.888885,
 2015/10/29 11:45:45.000,188.194443,
 2015/10/29 11:45:50.000,189.166672,
 2015/10/29 11:45:55.000,190.194443,
 2015/10/29 11:46:00.000,191.944443,
 2015/10/29 11:46:05.000,192.750000,
 2015/10/29 11:46:10.000,193.277771,
 2015/10/29 11:46:15.000,194.111115,
 2015/10/29 11:46:20.000,194.666672,
 2015/10/29 11:46:25.000,196.416672,
 2015/10/29 11:46:30.000,196.777771,
 2015/10/29 11:46:35.000,198.138885,
 2015/10/29 11:46:40.000,197.888885,
 2015/10/29 11:46:45.000,199.805557,
 2015/10/29 11:46:50.000,199.916672,
 2015/10/29 11:46:55.000,200.777771,
 2015/10/29 11:47:00.000,202.194443,
 2015/10/29 11:47:05.000,202.583328,
 2015/10/29 11:47:10.000,203.166672,
 2015/10/29 11:47:15.000,204.194443,
 2015/10/29 11:47:20.000,201.750000,
 2015/10/29 11:47:25.000,197.027771,
 2015/10/29 11:47:30.000,192.888885,
 2015/10/29 11:47:35.000,187.750000,
 2015/10/29 11:47:40.000,184.250000,
 2015/10/29 11:47:45.000,179.694443,
 2015/10/29 11:47:50.000,176.083328,
 2015/10/29 11:47:55.000,171.333328,
 2015/10/29 11:48:00.000,168.000000,
 2015/10/29 11:48:05.000,164.916672,
 2015/10/29 11:48:10.000,163.000000,
 2015/10/29 11:48:15.000,164.916672,
 2015/10/29 11:48:20.000,166.555557,
 2015/10/29 11:48:25.000,168.555557,
 2015/10/29 11:48:30.000,169.500000,
 2015/10/29 11:48:35.000,171.527771,
 2015/10/29 11:48:40.000,172.361115,
 2015/10/29 11:48:45.000,174.833328,
 2015/10/29 11:48:50.000,175.305557,
 2015/10/29 11:48:55.000,177.333328,
 2015/10/29 11:49:00.000,179.111115,
 2015/10/29 11:49:05.000,175.083328,
 2015/10/29 11:49:10.000,172.361115,
 2015/10/29 11:49:15.000,168.388885,
 2015/10/29 11:49:20.000,165.527771,
 2015/10/29 11:49:25.000,161.472229,
 2015/10/29 11:49:30.000,158.527771,
 2015/10/29 11:49:35.000,155.555557,
 2015/10/29 11:49:40.000,152.750000,
 2015/10/29 11:49:45.000,150.083328,
 2015/10/29 11:49:50.000,147.694443,
 2015/10/29 11:49:55.000,146.138885,
 2015/10/29 11:50:00.000,148.444443,
 2015/10/29 11:50:05.000,151.333328,
 2015/10/29 11:50:10.000,153.694443,
 2015/10/29 11:50:15.000,155.472229,
 2015/10/29 11:50:20.000,156.333328,
 2015/10/29 11:50:25.000,158.777771,
 2015/10/29 11:50:30.000,160.305557,
 2015/10/29 11:50:35.000,162.777771,
 2015/10/29 11:50:40.000,164.555557,
 2015/10/29 11:50:45.000,165.972229,
 2015/10/29 11:50:50.000,167.555557,
 2015/10/29 11:50:55.000,168.694443,
 2015/10/29 11:51:00.000,170.861115,
 2015/10/29 11:51:05.000,171.694443,
 2015/10/29 11:51:10.000,173.694443,
 2015/10/29 11:51:15.000,175.333328,
 2015/10/29 11:51:20.000,176.194443,
 2015/10/29 11:51:25.000,177.305557,
 2015/10/29 11:51:30.000,178.333328,
 2015/10/29 11:51:35.000,180.333328,
 2015/10/29 11:51:40.000,178.750000,
 2015/10/29 11:51:45.000,175.222229,
 2015/10/29 11:51:50.000,171.000000,
 2015/10/29 11:51:55.000,167.944443,
 2015/10/29 11:52:00.000,164.361115,
 2015/10/29 11:52:05.000,161.583328,
 2015/10/29 11:52:10.000,158.666672,
 2015/10/29 11:52:15.000,155.611115,
 2015/10/29 11:52:20.000,152.111115,
 2015/10/29 11:52:25.000,149.861115,
 2015/10/29 11:52:30.000,147.694443,
 2015/10/29 11:52:35.000,144.944443,
 2015/10/29 11:52:40.000,142.833328,
 2015/10/29 11:52:45.000,140.194443,
 2015/10/29 11:52:50.000,137.944443,
 2015/10/29 11:52:55.000,135.888885,
 2015/10/29 11:53:00.000,134.194443,
 2015/10/29 11:53:05.000,131.750000,
 2015/10/29 11:53:10.000,130.138885,
 2015/10/29 11:53:15.000,127.972221,
 2015/10/29 11:53:20.000,126.194443,
 2015/10/29 11:53:25.000,129.277771,
 2015/10/29 11:53:30.000,131.277771,
 2015/10/29 11:53:35.000,133.500000,
 2015/10/29 11:53:40.000,135.944443,
 2015/10/29 11:53:45.000,139.111115,
 2015/10/29 11:53:50.000,140.444443,
 2015/10/29 11:53:55.000,144.111115,
 2015/10/29 11:54:00.000,145.861115,
 2015/10/29 11:54:05.000,147.833328,
 2015/10/29 11:54:10.000,149.583328,
 2015/10/29 11:54:15.000,150.222229,
 2015/10/29 11:54:20.000,147.333328,
 2015/10/29 11:54:25.000,144.805557,
 2015/10/29 11:54:30.000,142.583328,
 2015/10/29 11:54:35.000,140.472229,
 2015/10/29 11:54:40.000,138.500000,
 2015/10/29 11:54:45.000,136.027771,
 2015/10/29 11:54:50.000,134.472229,
 2015/10/29 11:54:55.000,131.805557,
 2015/10/29 11:55:00.000,130.000000,
 2015/10/29 11:55:05.000,127.861115,
 2015/10/29 11:55:10.000,126.277779,
 2015/10/29 11:55:15.000,124.527779,
 2015/10/29 11:55:20.000,123.166664,
 2015/10/29 11:55:25.000,121.555557,
 2015/10/29 11:55:30.000,119.583336,
 2015/10/29 11:55:35.000,117.722221,
 2015/10/29 11:55:40.000,116.833336,
 2015/10/29 11:55:45.000,115.694443,
 2015/10/29 11:55:50.000,114.472221,
 2015/10/29 11:55:55.000,113.111115,
 2015/10/29 11:56:00.000,111.527779,
 2015/10/29 11:56:05.000,110.250000,
 2015/10/29 11:56:10.000,109.305557,
 2015/10/29 11:56:15.000,107.861115,
 2015/10/29 11:56:20.000,107.166664,
 2015/10/29 11:56:25.000,105.694443,
 2015/10/29 11:56:30.000,104.833336,
 2015/10/29 11:56:35.000,103.500000,
 2015/10/29 11:56:40.000,102.222221,
 2015/10/29 11:56:45.000,101.833336,
 2015/10/29 11:56:50.000,100.944443,
 2015/10/29 11:56:55.000,105.194443,
 2015/10/29 11:57:00.000,108.055557,
 2015/10/29 11:57:05.000,111.833336,
 2015/10/29 11:57:10.000,114.250000,
 2015/10/29 11:57:15.000,118.194443,
 2015/10/29 11:57:20.000,120.444443,
 2015/10/29 11:57:25.000,123.555557,
 2015/10/29 11:57:30.000,125.611115,
 2015/10/29 11:57:35.000,128.500000,
 2015/10/29 11:57:40.000,131.888885,
 2015/10/29 11:57:45.000,134.555557,
 2015/10/29 11:57:50.000,136.611115,
 2015/10/29 11:57:55.000,138.305557,
 2015/10/29 11:58:00.000,141.333328,
 2015/10/29 11:58:05.000,142.555557,
 2015/10/29 11:58:10.000,145.527771,
 2015/10/29 11:58:15.000,147.583328,
 2015/10/29 11:58:20.000,149.472229,
 2015/10/29 11:58:25.000,151.138885,
 2015/10/29 11:58:30.000,153.888885,
 2015/10/29 11:58:35.000,155.750000,
 2015/10/29 11:58:40.000,156.888885,
 2015/10/29 11:58:45.000,159.277771,
 2015/10/29 11:58:50.000,161.222229,
 2015/10/29 11:58:55.000,163.361115,
 2015/10/29 11:59:00.000,164.194443,
 2015/10/29 11:59:05.000,166.027771,
 2015/10/29 11:59:10.000,167.777771,
 2015/10/29 11:59:15.000,169.833328,
 2015/10/29 11:59:20.000,170.861115,
 2015/10/29 11:59:25.000,172.472229,
 2015/10/29 11:59:30.000,174.500000,
 2015/10/29 11:59:35.000,175.972229,
 2015/10/29 11:59:40.000,178.388885,
 2015/10/29 11:59:50.000,180.555557,
 2015/10/29 11:59:55.000,182.138885,
 2015/10/29 12:00:00.000,182.166672,
 2015/10/29 12:00:05.000,183.916672,
 2015/10/29 12:00:10.000,185.083328,
 2015/10/29 12:00:15.000,185.861115,
 2015/10/29 12:00:20.000,184.194443,
 2015/10/29 12:00:25.000,180.500000,
 2015/10/29 12:00:30.000,176.805557,
 2015/10/29 12:00:35.000,173.055557,
 2015/10/29 12:00:40.000,168.944443,
 2015/10/29 12:00:45.000,166.027771,
 2015/10/29 12:00:50.000,162.333328,
 2015/10/29 12:00:55.000,159.555557,
 2015/10/29 12:01:00.000,156.416672,
 2015/10/29 12:01:05.000,153.833328,
 2015/10/29 12:01:10.000,151.472229,
 2015/10/29 12:01:15.000,153.583328,
 2015/10/29 12:01:20.000,156.416672,
 2015/10/29 12:01:25.000,158.361115,
 2015/10/29 12:01:30.000,160.361115,
 2015/10/29 12:01:35.000,161.861115,
 2015/10/29 12:01:40.000,163.944443,
 2015/10/29 12:01:45.000,165.611115,
 2015/10/29 12:01:50.000,167.611115,
 2015/10/29 12:01:55.000,169.388885,
 2015/10/29 12:02:00.000,171.527771,
 2015/10/29 12:02:05.000,168.222229,
 2015/10/29 12:02:10.000,164.972229,
 2015/10/29 12:02:15.000,162.000000,
 2015/10/29 12:02:20.000,158.888885,
 2015/10/29 12:02:25.000,156.138885,
 2015/10/29 12:02:30.000,153.083328,
 2015/10/29 12:02:35.000,150.416672,
 2015/10/29 12:02:40.000,147.444443,
 2015/10/29 12:02:45.000,145.305557,
 2015/10/29 12:02:50.000,143.055557,
 2015/10/29 12:02:55.000,142.138885,
 2015/10/29 12:03:00.000,144.750000,
 2015/10/29 12:03:05.000,146.777771,
 2015/10/29 12:03:10.000,149.500000,
